era,region,variant,shoot_type,clothes,background,full_prompt
90s,South,1,outdoor,"a super baggy button-up work shirt four sizes too big buttoned only at the very top over a crisp white undershirt, enormously baggy jeans sagging below the waist showing boxers, a bandana folded and tied tight around the forehead, and unlaced wheat construction boots","a Harlem street corner at night with a bodega's neon beer signs glowing in the window, a payphone on the wall, a black Lincoln Town Car double-parked, and steam rising from a subway grate","Take this exact person and place them into a hip hop album cover photograph. Change their clothes to a super baggy button-up work shirt four sizes too big buttoned only at the very top over a crisp white undershirt, enormously baggy jeans sagging below the waist showing boxers, a bandana folded and tied tight around the forehead, and unlaced wheat construction boots. Place them in front of a Harlem street corner at night with a bodega's neon beer signs glowing in the window, a payphone on the wall, a black Lincoln Town Car double-parked, and steam rising from a subway grate. The mood channels Dirty South energy — humid summer night glow, swangas and candy paint, neon strip mall light, sweat on everything, the heat you can feel in the frame. In the style of Chi Modu and Danny Clinch's intimate sessions. Shot on a Contax G2 with on-camera flash, Kodak Portra 400 color film with warm skin tones and rich midtones. Medium shot framed from the waist up. Flash fill mixing with ambient light, shallow depth of field, cinematic and moody. No text or typography anywhere in the image. Keep their likeness perfectly intact. Square 1:1 format."
90s,South,1,studio,"a super baggy button-up work shirt four sizes too big buttoned only at the very top over a crisp white undershirt, enormously baggy jeans sagging below the waist showing boxers, a bandana folded and tied tight around the forehead, and unlaced wheat construction boots","a photography studio with a midnight blue seamless backdrop and moody sidelight from one soft box on the left, the right side falling into shadow, cinematic and intimate","Take this exact person and place them into a hip hop album cover photograph. Change their clothes to a super baggy button-up work shirt four sizes too big buttoned only at the very top over a crisp white undershirt, enormously baggy jeans sagging below the waist showing boxers, a bandana folded and tied tight around the forehead, and unlaced wheat construction boots. Place them in a photography studio with a midnight blue seamless backdrop and moody sidelight from one soft box on the left, the right side falling into shadow, cinematic and intimate. The mood channels Dirty South energy — humid summer night glow, swangas and candy paint, neon strip mall light, sweat on everything, the heat you can feel in the frame. In the style of Chi Modu and Danny Clinch's intimate sessions. Shot on a Contax G2 with on-camera flash, Kodak Portra 400 color film with warm skin tones and rich midtones. Medium shot framed from the waist up. Flash fill mixing with ambient light, shallow depth of field, cinematic and moody. No text or typography anywhere in the image. Keep their likeness perfectly intact. Square 1:1 format."
90s,South,1,props,"a super baggy button-up work shirt four sizes too big buttoned only at the very top over a crisp white undershirt, enormously baggy jeans sagging below the waist showing boxers, a bandana folded and tied tight around the forehead, and unlaced wheat construction boots","leaning on the hood of a black luxury sedan with suicide doors open, a car phone in hand, parked outside a recording studio at night, the engine still running","Take this exact person and place them into a hip hop album cover photograph. Change their clothes to a super baggy button-up work shirt four sizes too big buttoned only at the very top over a crisp white undershirt, enormously baggy jeans sagging below the waist showing boxers, a bandana folded and tied tight around the forehead, and unlaced wheat construction boots. They are leaning on the hood of a black luxury sedan with suicide doors open, a car phone in hand, parked outside a recording studio at night, the engine still running. The mood channels Dirty South energy — humid summer night glow, swangas and candy paint, neon strip mall light, sweat on everything, the heat you can feel in the frame. In the style of Chi Modu and Danny Clinch's intimate sessions. Shot on a Contax G2 with on-camera flash, Kodak Portra 400 color film with warm skin tones and rich midtones. Medium shot framed from the waist up. Flash fill mixing with ambient light, shallow depth of field, cinematic and moody. No text or typography anywhere in the image. Keep their likeness perfectly intact. Square 1:1 format."
90s,South,2,outdoor,"an absolutely massive hockey jersey hanging to the knees, extra-wide carpenter jeans dragging on the ground with the cuffs shredded, a durag under a fitted baseball cap turned backwards, and suede wallabee shoes","outside housing projects with red brick towers rising behind, a bench in the foreground, broken glass catching streetlight on the concrete, and a single yellow lamp casting a cone of light","Take this exact person and place them into a hip hop album cover photograph. Change their clothes to an absolutely massive hockey jersey hanging to the knees, extra-wide carpenter jeans dragging on the ground with the cuffs shredded, a durag under a fitted baseball cap turned backwards, and suede wallabee shoes. Place them in front of outside housing projects with red brick towers rising behind, a bench in the foreground, broken glass catching streetlight on the concrete, and a single yellow lamp casting a cone of light. The mood channels Dirty South energy — humid summer night glow, swangas and candy paint, neon strip mall light, sweat on everything, the heat you can feel in the frame. In the style of Chi Modu and Danny Clinch's intimate sessions. Shot on a Contax G2 with on-camera flash, Kodak Portra 400 color film with warm skin tones and rich midtones. Medium shot framed from the waist up. Flash fill mixing with ambient light, shallow depth of field, cinematic and moody. No text or typography anywhere in the image. Keep their likeness perfectly intact. Square 1:1 format."
90s,South,2,studio,"an absolutely massive hockey jersey hanging to the knees, extra-wide carpenter jeans dragging on the ground with the cuffs shredded, a durag under a fitted baseball cap turned backwards, and suede wallabee shoes","a photography studio with a forest green seamless backdrop and warm tungsten key light from the upper right, the tones rich and analog-feeling","Take this exact person and place them into a hip hop album cover photograph. Change their clothes to an absolutely massive hockey jersey hanging to the knees, extra-wide carpenter jeans dragging on the ground with the cuffs shredded, a durag under a fitted baseball cap turned backwards, and suede wallabee shoes. Place them in a photography studio with a forest green seamless backdrop and warm tungsten key light from the upper right, the tones rich and analog-feeling. The mood channels Dirty South energy — humid summer night glow, swangas and candy paint, neon strip mall light, sweat on everything, the heat you can feel in the frame. In the style of Chi Modu and Danny Clinch's intimate sessions. Shot on a Contax G2 with on-camera flash, Kodak Portra 400 color film with warm skin tones and rich midtones. Medium shot framed from the waist up. Flash fill mixing with ambient light, shallow depth of field, cinematic and moody. No text or typography anywhere in the image. Keep their likeness perfectly intact. Square 1:1 format."
90s,South,2,props,"an absolutely massive hockey jersey hanging to the knees, extra-wide carpenter jeans dragging on the ground with the cuffs shredded, a durag under a fitted baseball cap turned backwards, and suede wallabee shoes","sitting on a fire escape with a pager in one hand and a cordless phone in the other, a pizza box open on the steps, the city visible through the iron railing","Take this exact person and place them into a hip hop album cover photograph. Change their clothes to an absolutely massive hockey jersey hanging to the knees, extra-wide carpenter jeans dragging on the ground with the cuffs shredded, a durag under a fitted baseball cap turned backwards, and suede wallabee shoes. They are sitting on a fire escape with a pager in one hand and a cordless phone in the other, a pizza box open on the steps, the city visible through the iron railing. The mood channels Dirty South energy — humid summer night glow, swangas and candy paint, neon strip mall light, sweat on everything, the heat you can feel in the frame. In the style of Chi Modu and Danny Clinch's intimate sessions. Shot on a Contax G2 with on-camera flash, Kodak Portra 400 color film with warm skin tones and rich midtones. Medium shot framed from the waist up. Flash fill mixing with ambient light, shallow depth of field, cinematic and moody. No text or typography anywhere in the image. Keep their likeness perfectly intact. Square 1:1 format."
90s,South,3,outdoor,"a quilted bubble vest over an oversized hoodie with the hood up, super baggy cargo pants with every pocket stuffed, a gold Jesus piece chain over the hoodie, and chunky running sneakers","a liquor store parking lot at golden hour with a lowrider parked on the curb, iron bars on the storefront windows, telephone wires crossing overhead, and a mural of a neighborhood legend on the side wall","Take this exact person and place them into a hip hop album cover photograph. Change their clothes to a quilted bubble vest over an oversized hoodie with the hood up, super baggy cargo pants with every pocket stuffed, a gold Jesus piece chain over the hoodie, and chunky running sneakers. Place them in front of a liquor store parking lot at golden hour with a lowrider parked on the curb, iron bars on the storefront windows, telephone wires crossing overhead, and a mural of a neighborhood legend on the side wall. The mood channels Dirty South energy — humid summer night glow, swangas and candy paint, neon strip mall light, sweat on everything, the heat you can feel in the frame. In the style of Chi Modu and Danny Clinch's intimate sessions. Shot on a Contax G2 with on-camera flash, Kodak Portra 400 color film with warm skin tones and rich midtones. Medium shot framed from the waist up. Flash fill mixing with ambient light, shallow depth of field, cinematic and moody. No text or typography anywhere in the image. Keep their likeness perfectly intact. Square 1:1 format."
90s,South,3,studio,"a quilted bubble vest over an oversized hoodie with the hood up, super baggy cargo pants with every pocket stuffed, a gold Jesus piece chain over the hoodie, and chunky running sneakers",a photography studio with a charcoal grey seamless backdrop and a single bare bulb creating hard dramatic light with visible catchlight in the eyes,"Take this exact person and place them into a hip hop album cover photograph. Change their clothes to a quilted bubble vest over an oversized hoodie with the hood up, super baggy cargo pants with every pocket stuffed, a gold Jesus piece chain over the hoodie, and chunky running sneakers. Place them in a photography studio with a charcoal grey seamless backdrop and a single bare bulb creating hard dramatic light with visible catchlight in the eyes. The mood channels Dirty South energy — humid summer night glow, swangas and candy paint, neon strip mall light, sweat on everything, the heat you can feel in the frame. In the style of Chi Modu and Danny Clinch's intimate sessions. Shot on a Contax G2 with on-camera flash, Kodak Portra 400 color film with warm skin tones and rich midtones. Medium shot framed from the waist up. Flash fill mixing with ambient light, shallow depth of field, cinematic and moody. No text or typography anywhere in the image. Keep their likeness perfectly intact. Square 1:1 format."
90s,South,3,props,"a quilted bubble vest over an oversized hoodie with the hood up, super baggy cargo pants with every pocket stuffed, a gold Jesus piece chain over the hoodie, and chunky running sneakers","standing next to a row of payphones on a street corner, one receiver off the hook dangling by the cord, a newspaper folded under the arm, a bodega bag in hand","Take this exact person and place them into a hip hop album cover photograph. Change their clothes to a quilted bubble vest over an oversized hoodie with the hood up, super baggy cargo pants with every pocket stuffed, a gold Jesus piece chain over the hoodie, and chunky running sneakers. They are standing next to a row of payphones on a street corner, one receiver off the hook dangling by the cord, a newspaper folded under the arm, a bodega bag in hand. The mood channels Dirty South energy — humid summer night glow, swangas and candy paint, neon strip mall light, sweat on everything, the heat you can feel in the frame. In the style of Chi Modu and Danny Clinch's intimate sessions. Shot on a Contax G2 with on-camera flash, Kodak Portra 400 color film with warm skin tones and rich midtones. Medium shot framed from the waist up. Flash fill mixing with ambient light, shallow depth of field, cinematic and moody. No text or typography anywhere in the image. Keep their likeness perfectly intact. Square 1:1 format."
90s,South,4,outdoor,"a triple-XL rugby shirt with horizontal stripes tucked lazily into belted wide-leg khakis, a gold link bracelet, a pager clipped to the belt, and clean low-top sneakers","the Coney Island boardwalk in late October with the rides shut down in the background, grey sky, wind blowing trash along the planks, and the ocean dark and flat behind","Take this exact person and place them into a hip hop album cover photograph. Change their clothes to a triple-XL rugby shirt with horizontal stripes tucked lazily into belted wide-leg khakis, a gold link bracelet, a pager clipped to the belt, and clean low-top sneakers. Place them in front of the Coney Island boardwalk in late October with the rides shut down in the background, grey sky, wind blowing trash along the planks, and the ocean dark and flat behind. The mood channels Dirty South energy — humid summer night glow, swangas and candy paint, neon strip mall light, sweat on everything, the heat you can feel in the frame. In the style of Chi Modu and Danny Clinch's intimate sessions. Shot on a Contax G2 with on-camera flash, Kodak Portra 400 color film with warm skin tones and rich midtones. Medium shot framed from the waist up. Flash fill mixing with ambient light, shallow depth of field, cinematic and moody. No text or typography anywhere in the image. Keep their likeness perfectly intact. Square 1:1 format."
90s,South,4,studio,"a triple-XL rugby shirt with horizontal stripes tucked lazily into belted wide-leg khakis, a gold link bracelet, a pager clipped to the belt, and clean low-top sneakers","a photography studio with a deep purple seamless backdrop and amber gel on the key light, the whole frame feeling like a late-night session","Take this exact person and place them into a hip hop album cover photograph. Change their clothes to a triple-XL rugby shirt with horizontal stripes tucked lazily into belted wide-leg khakis, a gold link bracelet, a pager clipped to the belt, and clean low-top sneakers. Place them in a photography studio with a deep purple seamless backdrop and amber gel on the key light, the whole frame feeling like a late-night session. The mood channels Dirty South energy — humid summer night glow, swangas and candy paint, neon strip mall light, sweat on everything, the heat you can feel in the frame. In the style of Chi Modu and Danny Clinch's intimate sessions. Shot on a Contax G2 with on-camera flash, Kodak Portra 400 color film with warm skin tones and rich midtones. Medium shot framed from the waist up. Flash fill mixing with ambient light, shallow depth of field, cinematic and moody. No text or typography anywhere in the image. Keep their likeness perfectly intact. Square 1:1 format."
90s,South,4,props,"a triple-XL rugby shirt with horizontal stripes tucked lazily into belted wide-leg khakis, a gold link bracelet, a pager clipped to the belt, and clean low-top sneakers","posed in front of a wall of stacked televisions in a storefront window all showing the same channel, the blue TV glow lighting the face, hands stuffed in pockets","Take this exact person and place them into a hip hop album cover photograph. Change their clothes to a triple-XL rugby shirt with horizontal stripes tucked lazily into belted wide-leg khakis, a gold link bracelet, a pager clipped to the belt, and clean low-top sneakers. They are posed in front of a wall of stacked televisions in a storefront window all showing the same channel, the blue TV glow lighting the face, hands stuffed in pockets. The mood channels Dirty South energy — humid summer night glow, swangas and candy paint, neon strip mall light, sweat on everything, the heat you can feel in the frame. In the style of Chi Modu and Danny Clinch's intimate sessions. Shot on a Contax G2 with on-camera flash, Kodak Portra 400 color film with warm skin tones and rich midtones. Medium shot framed from the waist up. Flash fill mixing with ambient light, shallow depth of field, cinematic and moody. No text or typography anywhere in the image. Keep their likeness perfectly intact. Square 1:1 format."
90s,South,5,outdoor,"a comically oversized denim jacket with the sleeves cuffed once over a thermal henley, dark baggy jeans with a razor crease, a beanie pulled down to the eyebrows, and tan suede boots with the laces tucked in","outside a barbershop with a spinning pole, hand-painted signage on the window, folding chairs on the sidewalk, a domino game happening on a card table, and a row of parked sedans along the curb","Take this exact person and place them into a hip hop album cover photograph. Change their clothes to a comically oversized denim jacket with the sleeves cuffed once over a thermal henley, dark baggy jeans with a razor crease, a beanie pulled down to the eyebrows, and tan suede boots with the laces tucked in. Place them in front of outside a barbershop with a spinning pole, hand-painted signage on the window, folding chairs on the sidewalk, a domino game happening on a card table, and a row of parked sedans along the curb. The mood channels Dirty South energy — humid summer night glow, swangas and candy paint, neon strip mall light, sweat on everything, the heat you can feel in the frame. In the style of Chi Modu and Danny Clinch's intimate sessions. Shot on a Contax G2 with on-camera flash, Kodak Portra 400 color film with warm skin tones and rich midtones. Medium shot framed from the waist up. Flash fill mixing with ambient light, shallow depth of field, cinematic and moody. No text or typography anywhere in the image. Keep their likeness perfectly intact. Square 1:1 format."
90s,South,5,studio,"a comically oversized denim jacket with the sleeves cuffed once over a thermal henley, dark baggy jeans with a razor crease, a beanie pulled down to the eyebrows, and tan suede boots with the laces tucked in","a photography studio with an off-white seamless backdrop and flat soft light from a large overhead silk, clean and bright with barely any shadows","Take this exact person and place them into a hip hop album cover photograph. Change their clothes to a comically oversized denim jacket with the sleeves cuffed once over a thermal henley, dark baggy jeans with a razor crease, a beanie pulled down to the eyebrows, and tan suede boots with the laces tucked in. Place them in a photography studio with an off-white seamless backdrop and flat soft light from a large overhead silk, clean and bright with barely any shadows. The mood channels Dirty South energy — humid summer night glow, swangas and candy paint, neon strip mall light, sweat on everything, the heat you can feel in the frame. In the style of Chi Modu and Danny Clinch's intimate sessions. Shot on a Contax G2 with on-camera flash, Kodak Portra 400 color film with warm skin tones and rich midtones. Medium shot framed from the waist up. Flash fill mixing with ambient light, shallow depth of field, cinematic and moody. No text or typography anywhere in the image. Keep their likeness perfectly intact. Square 1:1 format."
90s,South,5,props,"a comically oversized denim jacket with the sleeves cuffed once over a thermal henley, dark baggy jeans with a razor crease, a beanie pulled down to the eyebrows, and tan suede boots with the laces tucked in","leaning against a Jeep with oversized off-road tires and a custom sound system, parked on a beach boardwalk, a two-way radio in hand, the ocean in the background","Take this exact person and place them into a hip hop album cover photograph. Change their clothes to a comically oversized denim jacket with the sleeves cuffed once over a thermal henley, dark baggy jeans with a razor crease, a beanie pulled down to the eyebrows, and tan suede boots with the laces tucked in. They are leaning against a Jeep with oversized off-road tires and a custom sound system, parked on a beach boardwalk, a two-way radio in hand, the ocean in the background. The mood channels Dirty South energy — humid summer night glow, swangas and candy paint, neon strip mall light, sweat on everything, the heat you can feel in the frame. In the style of Chi Modu and Danny Clinch's intimate sessions. Shot on a Contax G2 with on-camera flash, Kodak Portra 400 color film with warm skin tones and rich midtones. Medium shot framed from the waist up. Flash fill mixing with ambient light, shallow depth of field, cinematic and moody. No text or typography anywhere in the image. Keep their likeness perfectly intact. Square 1:1 format."
90s,Midwest,1,outdoor,"a super baggy button-up work shirt four sizes too big buttoned only at the very top over a crisp white undershirt, enormously baggy jeans sagging below the waist showing boxers, a bandana folded and tied tight around the forehead, and unlaced wheat construction boots","a Harlem street corner at night with a bodega's neon beer signs glowing in the window, a payphone on the wall, a black Lincoln Town Car double-parked, and steam rising from a subway grate","Take this exact person and place them into a hip hop album cover photograph. Change their clothes to a super baggy button-up work shirt four sizes too big buttoned only at the very top over a crisp white undershirt, enormously baggy jeans sagging below the waist showing boxers, a bandana folded and tied tight around the forehead, and unlaced wheat construction boots. Place them in front of a Harlem street corner at night with a bodega's neon beer signs glowing in the window, a payphone on the wall, a black Lincoln Town Car double-parked, and steam rising from a subway grate. The mood channels Midwest energy — grey overcast sky, industrial brick and rust, chain-link fences, cold breath visible, quiet intensity of a Chicago or Detroit winter. In the style of Chi Modu and Danny Clinch's intimate sessions. Shot on a Contax G2 with on-camera flash, Kodak Portra 400 color film with warm skin tones and rich midtones. Medium shot framed from the waist up. Flash fill mixing with ambient light, shallow depth of field, cinematic and moody. No text or typography anywhere in the image. Keep their likeness perfectly intact. Square 1:1 format."
90s,Midwest,1,studio,"a super baggy button-up work shirt four sizes too big buttoned only at the very top over a crisp white undershirt, enormously baggy jeans sagging below the waist showing boxers, a bandana folded and tied tight around the forehead, and unlaced wheat construction boots","a photography studio with a midnight blue seamless backdrop and moody sidelight from one soft box on the left, the right side falling into shadow, cinematic and intimate","Take this exact person and place them into a hip hop album cover photograph. Change their clothes to a super baggy button-up work shirt four sizes too big buttoned only at the very top over a crisp white undershirt, enormously baggy jeans sagging below the waist showing boxers, a bandana folded and tied tight around the forehead, and unlaced wheat construction boots. Place them in a photography studio with a midnight blue seamless backdrop and moody sidelight from one soft box on the left, the right side falling into shadow, cinematic and intimate. The mood channels Midwest energy — grey overcast sky, industrial brick and rust, chain-link fences, cold breath visible, quiet intensity of a Chicago or Detroit winter. In the style of Chi Modu and Danny Clinch's intimate sessions. Shot on a Contax G2 with on-camera flash, Kodak Portra 400 color film with warm skin tones and rich midtones. Medium shot framed from the waist up. Flash fill mixing with ambient light, shallow depth of field, cinematic and moody. No text or typography anywhere in the image. Keep their likeness perfectly intact. Square 1:1 format."
90s,Midwest,1,props,"a super baggy button-up work shirt four sizes too big buttoned only at the very top over a crisp white undershirt, enormously baggy jeans sagging below the waist showing boxers, a bandana folded and tied tight around the forehead, and unlaced wheat construction boots","leaning on the hood of a black luxury sedan with suicide doors open, a car phone in hand, parked outside a recording studio at night, the engine still running","Take this exact person and place them into a hip hop album cover photograph. Change their clothes to a super baggy button-up work shirt four sizes too big buttoned only at the very top over a crisp white undershirt, enormously baggy jeans sagging below the waist showing boxers, a bandana folded and tied tight around the forehead, and unlaced wheat construction boots. They are leaning on the hood of a black luxury sedan with suicide doors open, a car phone in hand, parked outside a recording studio at night, the engine still running. The mood channels Midwest energy — grey overcast sky, industrial brick and rust, chain-link fences, cold breath visible, quiet intensity of a Chicago or Detroit winter. In the style of Chi Modu and Danny Clinch's intimate sessions. Shot on a Contax G2 with on-camera flash, Kodak Portra 400 color film with warm skin tones and rich midtones. Medium shot framed from the waist up. Flash fill mixing with ambient light, shallow depth of field, cinematic and moody. No text or typography anywhere in the image. Keep their likeness perfectly intact. Square 1:1 format."
90s,Midwest,2,outdoor,"an absolutely massive hockey jersey hanging to the knees, extra-wide carpenter jeans dragging on the ground with the cuffs shredded, a durag under a fitted baseball cap turned backwards, and suede wallabee shoes","outside housing projects with red brick towers rising behind, a bench in the foreground, broken glass catching streetlight on the concrete, and a single yellow lamp casting a cone of light","Take this exact person and place them into a hip hop album cover photograph. Change their clothes to an absolutely massive hockey jersey hanging to the knees, extra-wide carpenter jeans dragging on the ground with the cuffs shredded, a durag under a fitted baseball cap turned backwards, and suede wallabee shoes. Place them in front of outside housing projects with red brick towers rising behind, a bench in the foreground, broken glass catching streetlight on the concrete, and a single yellow lamp casting a cone of light. The mood channels Midwest energy — grey overcast sky, industrial brick and rust, chain-link fences, cold breath visible, quiet intensity of a Chicago or Detroit winter. In the style of Chi Modu and Danny Clinch's intimate sessions. Shot on a Contax G2 with on-camera flash, Kodak Portra 400 color film with warm skin tones and rich midtones. Medium shot framed from the waist up. Flash fill mixing with ambient light, shallow depth of field, cinematic and moody. No text or typography anywhere in the image. Keep their likeness perfectly intact. Square 1:1 format."
90s,Midwest,2,studio,"an absolutely massive hockey jersey hanging to the knees, extra-wide carpenter jeans dragging on the ground with the cuffs shredded, a durag under a fitted baseball cap turned backwards, and suede wallabee shoes","a photography studio with a forest green seamless backdrop and warm tungsten key light from the upper right, the tones rich and analog-feeling","Take this exact person and place them into a hip hop album cover photograph. Change their clothes to an absolutely massive hockey jersey hanging to the knees, extra-wide carpenter jeans dragging on the ground with the cuffs shredded, a durag under a fitted baseball cap turned backwards, and suede wallabee shoes. Place them in a photography studio with a forest green seamless backdrop and warm tungsten key light from the upper right, the tones rich and analog-feeling. The mood channels Midwest energy — grey overcast sky, industrial brick and rust, chain-link fences, cold breath visible, quiet intensity of a Chicago or Detroit winter. In the style of Chi Modu and Danny Clinch's intimate sessions. Shot on a Contax G2 with on-camera flash, Kodak Portra 400 color film with warm skin tones and rich midtones. Medium shot framed from the waist up. Flash fill mixing with ambient light, shallow depth of field, cinematic and moody. No text or typography anywhere in the image. Keep their likeness perfectly intact. Square 1:1 format."
90s,Midwest,2,props,"an absolutely massive hockey jersey hanging to the knees, extra-wide carpenter jeans dragging on the ground with the cuffs shredded, a durag under a fitted baseball cap turned backwards, and suede wallabee shoes","sitting on a fire escape with a pager in one hand and a cordless phone in the other, a pizza box open on the steps, the city visible through the iron railing","Take this exact person and place them into a hip hop album cover photograph. Change their clothes to an absolutely massive hockey jersey hanging to the knees, extra-wide carpenter jeans dragging on the ground with the cuffs shredded, a durag under a fitted baseball cap turned backwards, and suede wallabee shoes. They are sitting on a fire escape with a pager in one hand and a cordless phone in the other, a pizza box open on the steps, the city visible through the iron railing. The mood channels Midwest energy — grey overcast sky, industrial brick and rust, chain-link fences, cold breath visible, quiet intensity of a Chicago or Detroit winter. In the style of Chi Modu and Danny Clinch's intimate sessions. Shot on a Contax G2 with on-camera flash, Kodak Portra 400 color film with warm skin tones and rich midtones. Medium shot framed from the waist up. Flash fill mixing with ambient light, shallow depth of field, cinematic and moody. No text or typography anywhere in the image. Keep their likeness perfectly intact. Square 1:1 format."
90s,Midwest,3,outdoor,"a quilted bubble vest over an oversized hoodie with the hood up, super baggy cargo pants with every pocket stuffed, a gold Jesus piece chain over the hoodie, and chunky running sneakers","a liquor store parking lot at golden hour with a lowrider parked on the curb, iron bars on the storefront windows, telephone wires crossing overhead, and a mural of a neighborhood legend on the side wall","Take this exact person and place them into a hip hop album cover photograph. Change their clothes to a quilted bubble vest over an oversized hoodie with the hood up, super baggy cargo pants with every pocket stuffed, a gold Jesus piece chain over the hoodie, and chunky running sneakers. Place them in front of a liquor store parking lot at golden hour with a lowrider parked on the curb, iron bars on the storefront windows, telephone wires crossing overhead, and a mural of a neighborhood legend on the side wall. The mood channels Midwest energy — grey overcast sky, industrial brick and rust, chain-link fences, cold breath visible, quiet intensity of a Chicago or Detroit winter. In the style of Chi Modu and Danny Clinch's intimate sessions. Shot on a Contax G2 with on-camera flash, Kodak Portra 400 color film with warm skin tones and rich midtones. Medium shot framed from the waist up. Flash fill mixing with ambient light, shallow depth of field, cinematic and moody. No text or typography anywhere in the image. Keep their likeness perfectly intact. Square 1:1 format."
90s,Midwest,3,studio,"a quilted bubble vest over an oversized hoodie with the hood up, super baggy cargo pants with every pocket stuffed, a gold Jesus piece chain over the hoodie, and chunky running sneakers",a photography studio with a charcoal grey seamless backdrop and a single bare bulb creating hard dramatic light with visible catchlight in the eyes,"Take this exact person and place them into a hip hop album cover photograph. Change their clothes to a quilted bubble vest over an oversized hoodie with the hood up, super baggy cargo pants with every pocket stuffed, a gold Jesus piece chain over the hoodie, and chunky running sneakers. Place them in a photography studio with a charcoal grey seamless backdrop and a single bare bulb creating hard dramatic light with visible catchlight in the eyes. The mood channels Midwest energy — grey overcast sky, industrial brick and rust, chain-link fences, cold breath visible, quiet intensity of a Chicago or Detroit winter. In the style of Chi Modu and Danny Clinch's intimate sessions. Shot on a Contax G2 with on-camera flash, Kodak Portra 400 color film with warm skin tones and rich midtones. Medium shot framed from the waist up. Flash fill mixing with ambient light, shallow depth of field, cinematic and moody. No text or typography anywhere in the image. Keep their likeness perfectly intact. Square 1:1 format."
90s,Midwest,3,props,"a quilted bubble vest over an oversized hoodie with the hood up, super baggy cargo pants with every pocket stuffed, a gold Jesus piece chain over the hoodie, and chunky running sneakers","standing next to a row of payphones on a street corner, one receiver off the hook dangling by the cord, a newspaper folded under the arm, a bodega bag in hand","Take this exact person and place them into a hip hop album cover photograph. Change their clothes to a quilted bubble vest over an oversized hoodie with the hood up, super baggy cargo pants with every pocket stuffed, a gold Jesus piece chain over the hoodie, and chunky running sneakers. They are standing next to a row of payphones on a street corner, one receiver off the hook dangling by the cord, a newspaper folded under the arm, a bodega bag in hand. The mood channels Midwest energy — grey overcast sky, industrial brick and rust, chain-link fences, cold breath visible, quiet intensity of a Chicago or Detroit winter. In the style of Chi Modu and Danny Clinch's intimate sessions. Shot on a Contax G2 with on-camera flash, Kodak Portra 400 color film with warm skin tones and rich midtones. Medium shot framed from the waist up. Flash fill mixing with ambient light, shallow depth of field, cinematic and moody. No text or typography anywhere in the image. Keep their likeness perfectly intact. Square 1:1 format."
90s,Midwest,4,outdoor,"a triple-XL rugby shirt with horizontal stripes tucked lazily into belted wide-leg khakis, a gold link bracelet, a pager clipped to the belt, and clean low-top sneakers","the Coney Island boardwalk in late October with the rides shut down in the background, grey sky, wind blowing trash along the planks, and the ocean dark and flat behind","Take this exact person and place them into a hip hop album cover photograph. Change their clothes to a triple-XL rugby shirt with horizontal stripes tucked lazily into belted wide-leg khakis, a gold link bracelet, a pager clipped to the belt, and clean low-top sneakers. Place them in front of the Coney Island boardwalk in late October with the rides shut down in the background, grey sky, wind blowing trash along the planks, and the ocean dark and flat behind. The mood channels Midwest energy — grey overcast sky, industrial brick and rust, chain-link fences, cold breath visible, quiet intensity of a Chicago or Detroit winter. In the style of Chi Modu and Danny Clinch's intimate sessions. Shot on a Contax G2 with on-camera flash, Kodak Portra 400 color film with warm skin tones and rich midtones. Medium shot framed from the waist up. Flash fill mixing with ambient light, shallow depth of field, cinematic and moody. No text or typography anywhere in the image. Keep their likeness perfectly intact. Square 1:1 format."
90s,Midwest,4,studio,"a triple-XL rugby shirt with horizontal stripes tucked lazily into belted wide-leg khakis, a gold link bracelet, a pager clipped to the belt, and clean low-top sneakers","a photography studio with a deep purple seamless backdrop and amber gel on the key light, the whole frame feeling like a late-night session","Take this exact person and place them into a hip hop album cover photograph. Change their clothes to a triple-XL rugby shirt with horizontal stripes tucked lazily into belted wide-leg khakis, a gold link bracelet, a pager clipped to the belt, and clean low-top sneakers. Place them in a photography studio with a deep purple seamless backdrop and amber gel on the key light, the whole frame feeling like a late-night session. The mood channels Midwest energy — grey overcast sky, industrial brick and rust, chain-link fences, cold breath visible, quiet intensity of a Chicago or Detroit winter. In the style of Chi Modu and Danny Clinch's intimate sessions. Shot on a Contax G2 with on-camera flash, Kodak Portra 400 color film with warm skin tones and rich midtones. Medium shot framed from the waist up. Flash fill mixing with ambient light, shallow depth of field, cinematic and moody. No text or typography anywhere in the image. Keep their likeness perfectly intact. Square 1:1 format."
